province,month,rainfall_7day,rainfall_30day,river_discharge,population,elevation_factor,historical_floods,ndma_fatality_weight,flood_risk_score
Khyber Pakhtunkhwa,10,28.12,85.17,7130.99,35500000,0.6,6,0.131,53.54
KP and Punjab,6,17.36,62.22,6048.59,47900000,0.2,8,0.082,57.31
KP and Punjab,7,18.2,72.95,6240.4,47900000,0.2,8,0.082,56.89
KP and Punjab,8,18.2,67.57,6175.81,47900000,0.2,8,0.082,59.77
KP and Punjab,9,18.2,69.04,6193.46,47900000,0.2,8,0.082,64.49
KP and Punjab,10,17.36,57.97,5997.67,47900000,0.2,8,0.082,61.01
Sindh and Balochistan,6,19.88,67.37,6299.4,47900000,0.2,8,0.093,58.8
Sindh and Balochistan,7,21.0,56.35,6251.22,47900000,0.2,8,0.093,59.82
Sindh and Balochistan,8,21.0,53.62,6218.46,47900000,0.2,8,0.093,55.74
Sindh and Balochistan,9,21.0,70.66,6422.87,47900000,0.2,8,0.093,63.13
Sindh and Balochistan,10,19.88,80.37,6455.47,47900000,0.2,8,0.093,58.4
Khyber Pakhtunkhwa,6,24.02,90.9,6892.33,35500000,0.6,6,0.113,45.51
Khyber Pakhtunkhwa,7,25.35,73.24,6780.07,35500000,0.6,6,0.113,49.36
Khyber Pakhtunkhwa,8,25.35,70.32,6745.12,35500000,0.6,6,0.113,48.72
Khyber Pakhtunkhwa,9,24.02,98.01,6977.66,35500000,0.6,6,0.113,51.5
Khyber Pakhtunkhwa,10,24.02,95.64,6949.12,35500000,0.6,6,0.113,53.47
Sindh,6,44.2,170.89,9365.66,47900000,0.2,8,0.205,79.12
Sindh,7,47.0,189.1,9794.17,47900000,0.2,8,0.205,75.53
Sindh,8,47.0,142.91,9239.9,47900000,0.2,8,0.205,74.23
Sindh,9,47.0,151.63,9344.51,47900000,0.2,8,0.205,73.9
Sindh,10,44.2,171.97,9378.59,47900000,0.2,8,0.205,67.03
Khyber Pakhtunkhwa,6,16.8,48.34,5840.12,35500000,0.6,6,0.08,61.04
Khyber Pakhtunkhwa,7,17.5,47.32,5880.29,35500000,0.6,6,0.08,61.36
Khyber Pakhtunkhwa,8,17.5,53.37,5952.88,35500000,0.6,6,0.08,59.5
Khyber Pakhtunkhwa,9,16.8,56.82,5941.8,35500000,0.6,6,0.08,57.17
Khyber Pakhtunkhwa,10,16.8,69.75,6097.05,35500000,0.6,6,0.08,64.21
Sindh and Balochistan,6,226.7,937.67,32254.51,47900000,0.2,8,0.87,94.94
Sindh and Balochistan,7,272.9,821.84,34329.54,47900000,0.2,8,0.87,89.98
Sindh and Balochistan,8,272.9,814.4,34240.25,47900000,0.2,8,0.87,95.31
Sindh and Balochistan,9,272.9,915.46,35000.0,47900000,0.2,8,0.87,93.7
Sindh and Balochistan,10,226.7,586.59,28041.57,47900000,0.2,8,0.87,96.43
Punjab,6,24.2,70.36,6659.27,110000000,0.3,7,0.113,49.22
Punjab,7,25.6,70.31,6763.67,110000000,0.3,7,0.113,51.02
Punjab,8,25.6,74.53,6814.41,110000000,0.3,7,0.113,49.98
Punjab,9,25.6,93.25,7039.02,110000000,0.3,7,0.113,47.67
Punjab,10,24.2,90.46,6900.51,110000000,0.3,7,0.113,52.32
Balochistan and Sindh,6,37.8,118.13,8252.6,47900000,0.2,8,0.177,64.22
Balochistan and Sindh,7,39.9,136.09,8625.6,47900000,0.2,8,0.177,64.18
Balochistan and Sindh,8,39.9,105.87,8262.99,47900000,0.2,8,0.177,58.52
Balochistan and Sindh,9,39.9,112.4,8341.32,47900000,0.2,8,0.177,62.77
Balochistan and Sindh,10,37.8,97.12,8000.44,47900000,0.2,8,0.177,65.12
Punjab and Khyber Pakhtunkhwa,6,114.74,290.09,16086.53,47900000,0.2,8,0.518,97.62
Punjab and Khyber Pakhtunkhwa,7,124.4,419.3,18361.57,47900000,0.2,8,0.518,96.95
Punjab and Khyber Pakhtunkhwa,8,124.4,347.88,17504.5,47900000,0.2,8,0.518,91.33
Punjab and Khyber Pakhtunkhwa,9,124.4,457.12,18815.43,47900000,0.2,8,0.518,96.86
Punjab and Khyber Pakhtunkhwa,10,114.74,313.67,16369.59,47900000,0.2,8,0.518,94.52
KP and Gilgit-Baltistan,6,18.96,58.39,6122.72,47900000,0.2,8,0.09,58.93
KP and Gilgit-Baltistan,7,19.8,71.72,6345.58,47900000,0.2,8,0.09,61.67
KP and Gilgit-Baltistan,8,19.8,77.01,6409.09,47900000,0.2,8,0.09,64.09
KP and Gilgit-Baltistan,9,19.8,57.64,6176.69,47900000,0.2,8,0.09,67.62
KP and Gilgit-Baltistan,10,18.96,50.4,6026.81,47900000,0.2,8,0.09,55.68
Khyber Pakhtunkhwa,7,102.86,345.76,12143.34,2366666,0.6,6,0.933,100.0
Khyber Pakhtunkhwa,8,201.48,729.22,22388.43,2366666,0.6,6,0.933,100.0
Khyber Pakhtunkhwa,7,55.15,135.58,6940.24,2366666,0.6,6,0.833,100.0
Khyber Pakhtunkhwa,8,201.74,639.57,21508.81,2366666,0.6,6,0.833,100.0
Khyber Pakhtunkhwa,7,164.54,533.63,18031.47,2366666,0.6,6,0.7,100.0
Khyber Pakhtunkhwa,8,80.37,268.39,9907.85,2366666,0.6,6,0.7,100.0
Khyber Pakhtunkhwa,7,174.37,564.85,18982.46,2366666,0.6,6,0.433,87.24
Khyber Pakhtunkhwa,8,192.86,627.22,20808.08,2366666,0.6,6,0.433,87.76
Khyber Pakhtunkhwa,7,106.19,278.67,11689.01,2366666,0.6,6,0.283,83.04
Khyber Pakhtunkhwa,8,83.92,315.27,10607.33,2366666,0.6,6,0.283,84.51
Khyber Pakhtunkhwa,7,153.6,533.27,17317.02,2366666,0.6,6,0.25,80.77
Khyber Pakhtunkhwa,8,130.47,407.48,14555.64,2366666,0.6,6,0.25,78.44
Khyber Pakhtunkhwa,7,170.04,450.48,17557.49,2366666,0.6,6,0.15,76.68
Khyber Pakhtunkhwa,8,44.38,143.46,6319.09,2366666,0.6,6,0.15,76.5
Khyber Pakhtunkhwa,7,58.33,218.27,7974.32,2366666,0.6,6,0.133,52.48
Khyber Pakhtunkhwa,8,52.65,140.64,6828.64,2366666,0.6,6,0.133,53.09
Khyber Pakhtunkhwa,7,25.85,63.87,4318.7,2366666,0.6,6,0.117,49.57
Khyber Pakhtunkhwa,8,37.84,139.93,5858.87,2366666,0.6,6,0.117,51.51
Sindh,7,57.49,183.05,7567.51,3193333,0.2,8,0.267,100.0
Sindh,8,218.21,528.97,21473.33,3193333,0.2,8,0.267,100.0
Sindh,7,173.34,574.66,19013.55,3193333,0.2,8,0.217,99.85
Sindh,8,166.45,461.92,17438.28,3193333,0.2,8,0.217,100.0
Sindh,7,185.82,666.6,20744.29,3193333,0.2,8,0.183,77.04
Sindh,8,204.38,616.86,21453.5,3193333,0.2,8,0.183,81.12
Sindh,7,156.99,521.71,17421.7,3193333,0.2,8,0.15,76.76
Sindh,8,183.24,664.07,20551.5,3193333,0.2,8,0.15,74.44
Sindh,7,56.92,177.88,7478.38,3193333,0.2,8,0.133,73.0
Sindh,8,46.47,136.85,6389.03,3193333,0.2,8,0.133,72.42
Sindh,7,146.35,329.11,14803.87,3193333,0.2,8,0.133,76.71
Sindh,8,46.72,164.28,6679.82,3193333,0.2,8,0.133,74.21
Sindh,7,134.0,459.9,15309.24,3193333,0.2,8,0.117,74.58
Sindh,8,78.85,252.05,9645.57,3193333,0.2,8,0.117,80.03
Sindh,7,154.74,520.19,17259.81,3193333,0.2,8,0.1,78.19
Sindh,8,215.65,652.58,22543.31,3193333,0.2,8,0.1,76.6
Punjab,7,88.75,257.58,10344.57,7333333,0.3,7,0.1,73.24
Punjab,8,54.12,121.26,6730.58,7333333,0.3,7,0.1,72.96
Punjab,7,71.19,174.44,8371.98,7333333,0.3,7,0.083,77.07
Punjab,8,85.04,261.83,10146.14,7333333,0.3,7,0.083,75.64
Punjab,7,90.39,336.95,11244.7,7333333,0.3,7,0.067,75.53
Punjab,8,172.82,533.49,18568.33,7333333,0.3,7,0.067,70.35
Punjab,7,22.39,62.0,4075.13,7333333,0.3,7,0.05,50.94
Punjab,8,47.89,106.47,6177.66,7333333,0.3,7,0.05,46.78
Punjab,7,14.89,44.48,3412.71,7333333,0.3,7,0.033,50.24
Punjab,8,33.67,83.41,5022.92,7333333,0.3,7,0.033,42.51
Punjab,7,40.79,131.19,5963.46,7333333,0.3,7,0.033,43.9
Punjab,8,12.27,34.33,3140.59,7333333,0.3,7,0.033,46.62
Balochistan,7,194.17,631.81,20938.99,820000,0.5,5,0.217,100.0
Balochistan,8,69.33,160.35,8109.83,820000,0.5,5,0.217,99.35
Balochistan,7,145.44,538.76,16841.19,820000,0.5,5,0.183,78.37
Balochistan,8,143.59,405.06,15383.69,820000,0.5,5,0.183,77.02
Balochistan,7,138.21,512.26,16106.29,820000,0.5,5,0.133,80.22
Balochistan,8,109.5,409.29,13210.35,820000,0.5,5,0.133,75.03
Sindh,7,97.42,346.0,11792.02,3193333,0.2,8,0.213,100.0
Sindh,8,44.19,154.8,6420.29,3193333,0.2,8,0.213,98.36
Sindh,7,165.41,530.36,18055.47,3193333,0.2,8,0.183,97.54
Sindh,8,197.94,668.28,21549.27,3193333,0.2,8,0.183,96.99
Sindh,7,71.94,244.66,9122.68,3193333,0.2,8,0.15,78.5
Sindh,8,185.23,701.06,21050.58,3193333,0.2,8,0.15,73.17
Sindh,7,179.75,493.48,18618.8,3193333,0.2,8,0.133,73.56
Sindh,8,207.54,741.62,22906.09,3193333,0.2,8,0.133,79.11
Sindh,7,175.82,415.81,17586.24,3193333,0.2,8,0.117,74.37
Sindh,8,202.46,609.08,21250.67,3193333,0.2,8,0.117,74.2
Sindh,7,201.19,567.92,20756.78,3193333,0.2,8,0.133,77.9
Sindh,8,41.95,153.06,6257.42,3193333,0.2,8,0.133,75.46
Sindh,7,211.01,785.17,23567.39,3193333,0.2,8,0.117,74.02
Sindh,8,143.22,459.87,15907.89,3193333,0.2,8,0.117,71.67
Sindh,7,99.16,324.85,11693.87,3193333,0.2,8,0.1,73.61
Sindh,8,175.43,608.12,19484.02,3193333,0.2,8,0.1,73.1
Sindh,7,138.92,403.75,15066.99,3193333,0.2,8,0.167,97.48
Sindh,8,199.79,551.7,20503.18,3193333,0.2,8,0.167,98.73
Sindh,7,58.2,135.88,7141.9,3193333,0.2,8,0.15,79.47
Sindh,8,166.17,384.93,16650.64,3193333,0.2,8,0.15,77.87
Sindh,7,54.64,127.63,6828.09,3193333,0.2,8,0.117,77.0
Sindh,8,217.6,609.01,22233.81,3193333,0.2,8,0.117,77.56
Balochistan,7,210.5,795.2,23634.84,820000,0.5,5,0.133,75.05
Balochistan,8,175.61,492.06,18335.09,820000,0.5,5,0.133,71.93
Balochistan,7,203.14,483.06,20034.93,820000,0.5,5,0.117,78.39
Balochistan,8,128.67,285.42,13217.88,820000,0.5,5,0.117,73.89
Punjab,7,61.39,146.6,7456.12,7333333,0.3,7,0.1,74.4
Punjab,8,156.86,532.32,17519.0,7333333,0.3,7,0.1,75.49
Punjab,7,107.48,285.58,11841.79,7333333,0.3,7,0.083,73.93
Punjab,8,196.35,502.21,19784.7,7333333,0.3,7,0.083,73.89
Punjab,7,218.73,507.04,21288.1,7333333,0.3,7,0.067,74.97
Punjab,8,139.69,523.98,16319.85,7333333,0.3,7,0.067,77.55
Khyber Pakhtunkhwa,7,165.23,483.69,17577.12,2366666,0.6,6,0.083,74.56
Khyber Pakhtunkhwa,8,152.96,479.52,16737.59,2366666,0.6,6,0.083,73.53
Khyber Pakhtunkhwa,7,41.01,108.41,5749.57,2366666,0.6,6,0.06,49.65
Khyber Pakhtunkhwa,8,19.41,57.09,3832.3,2366666,0.6,6,0.06,49.77
Balochistan,7,53.99,202.96,7539.08,820000,0.5,5,0.073,69.68
Balochistan,8,217.52,721.52,23353.86,820000,0.5,5,0.073,69.47
Balochistan,7,186.48,614.57,20267.08,820000,0.5,5,0.067,73.72
Balochistan,8,69.27,253.36,9036.2,820000,0.5,5,0.067,74.48
Punjab,7,115.28,425.67,13750.14,7333333,0.3,7,0.1,77.45
Punjab,8,195.89,445.13,19184.29,7333333,0.3,7,0.1,74.35
Punjab,7,185.9,702.63,21109.81,7333333,0.3,7,0.073,72.74
Punjab,8,67.08,211.33,8473.15,7333333,0.3,7,0.073,73.98
Punjab,7,52.11,184.52,7232.13,7333333,0.3,7,0.06,47.53
Punjab,8,33.43,95.75,5130.72,7333333,0.3,7,0.06,47.48
Punjab,7,53.24,186.36,7323.95,7333333,0.3,7,0.05,47.14
Punjab,8,59.99,227.62,8175.32,7333333,0.3,7,0.05,50.28
Punjab,7,57.24,203.74,7757.85,7333333,0.3,7,0.047,47.72
Punjab,8,22.37,65.33,4107.2,7333333,0.3,7,0.047,44.36
Punjab,7,43.59,138.99,6222.96,7333333,0.3,7,0.04,47.87
Punjab,8,27.91,66.47,4478.71,7333333,0.3,7,0.04,47.28
Punjab,7,48.62,147.42,6634.2,7333333,0.3,7,0.033,50.59
Punjab,8,52.61,162.2,7041.55,7333333,0.3,7,0.033,48.55
Punjab,7,30.17,72.85,4689.85,7333333,0.3,7,0.04,47.13
Punjab,8,11.44,38.99,3133.41,7333333,0.3,7,0.04,49.78
Punjab,7,20.65,49.93,3841.45,7333333,0.3,7,0.027,47.96
Punjab,8,10.73,29.62,2993.44,7333333,0.3,7,0.027,42.74
Punjab,7,31.87,116.23,5234.12,7333333,0.3,7,0.033,49.39
Punjab,8,27.41,82.85,4610.35,7333333,0.3,7,0.033,45.53
Khyber Pakhtunkhwa,7,151.98,544.04,17318.81,2366666,0.6,6,0.15,99.42
Khyber Pakhtunkhwa,8,210.91,513.64,20845.81,2366666,0.6,6,0.15,96.72
Khyber Pakhtunkhwa,7,86.48,253.8,10159.43,2366666,0.6,6,0.067,74.59
Khyber Pakhtunkhwa,8,216.41,646.66,22533.0,2366666,0.6,6,0.067,75.25
Khyber Pakhtunkhwa,7,22.01,51.09,3941.35,2366666,0.6,6,0.05,44.37
Khyber Pakhtunkhwa,8,16.44,39.55,3464.32,2366666,0.6,6,0.05,45.05
Punjab,7,102.22,371.56,12359.87,7333333,0.3,7,0.06,73.68
Punjab,8,125.31,409.53,14240.7,7333333,0.3,7,0.06,71.81
Punjab,7,12.04,29.75,3080.33,7333333,0.3,7,0.05,46.3
Punjab,8,23.93,59.42,4149.64,7333333,0.3,7,0.05,44.38
Khyber Pakhtunkhwa,7,105.57,317.28,12034.79,2366666,0.6,6,0.1,74.12
Khyber Pakhtunkhwa,8,164.27,371.73,16394.91,2366666,0.6,6,0.1,75.53
Khyber Pakhtunkhwa,7,54.72,196.86,7525.13,2366666,0.6,6,0.083,76.16
Khyber Pakhtunkhwa,8,205.76,472.77,20101.94,2366666,0.6,6,0.083,75.45
Khyber Pakhtunkhwa,7,47.41,118.31,6264.91,2366666,0.6,6,0.073,47.06
Khyber Pakhtunkhwa,8,20.47,57.16,3901.99,2366666,0.6,6,0.073,53.05
Balochistan,7,28.45,83.63,4685.29,820000,0.5,5,0.05,46.63
Balochistan,8,47.37,107.0,6149.3,820000,0.5,5,0.05,48.95
Khyber Pakhtunkhwa,7,54.76,165.3,7212.46,2366666,0.6,6,0.06,45.72
Khyber Pakhtunkhwa,8,36.61,86.81,5247.46,2366666,0.6,6,0.06,50.75
Punjab,7,22.12,58.2,4020.05,7333333,0.3,7,0.04,41.89
Punjab,8,28.86,64.43,4520.46,7333333,0.3,7,0.04,44.68
Punjab,7,26.37,63.08,4345.15,7333333,0.3,7,0.033,45.19
Punjab,8,54.53,171.74,7261.66,7333333,0.3,7,0.033,48.61
Sindh,7,34.92,81.69,5086.79,3193333,0.2,8,0.067,49.31
Sindh,8,36.86,115.69,5552.46,3193333,0.2,8,0.067,47.12
Balochistan,7,16.38,43.47,3499.34,820000,0.5,5,0.06,50.86
Balochistan,8,28.15,91.04,4740.37,820000,0.5,5,0.06,43.87
Balochistan,7,59.33,188.02,7736.35,820000,0.5,5,0.04,48.68
Balochistan,8,21.86,51.66,3937.54,820000,0.5,5,0.04,45.88
Khyber Pakhtunkhwa,7,68.92,172.2,8202.01,2366666,0.6,6,0.083,72.5
Khyber Pakhtunkhwa,8,91.32,226.23,10197.9,2366666,0.6,6,0.083,68.74
Khyber Pakhtunkhwa,7,216.83,515.89,21252.74,2366666,0.6,6,0.067,74.37
Khyber Pakhtunkhwa,8,111.61,418.68,13441.72,2366666,0.6,6,0.067,73.47
Balochistan,7,22.9,56.63,4054.48,820000,0.5,5,0.06,48.25
Balochistan,8,43.43,160.13,6424.43,820000,0.5,5,0.06,51.79
Balochistan,7,24.0,82.34,4383.38,820000,0.5,5,0.04,50.04
Balochistan,8,19.35,52.6,3783.86,820000,0.5,5,0.04,47.36
AJK,7,22.12,52.73,3965.13,3193333,0.2,8,0.05,41.77
AJK,8,40.53,107.89,5713.37,3193333,0.2,8,0.05,44.97
Sindh,7,126.61,386.42,14093.51,3193333,0.2,8,0.137,96.69
Sindh,8,49.33,135.09,6557.22,3193333,0.2,8,0.137,94.95
Sindh,7,162.67,555.74,18131.0,3193333,0.2,8,0.1,76.02
Sindh,8,147.21,434.95,15918.47,3193333,0.2,8,0.1,70.96
Sindh,7,207.32,731.61,22791.63,3193333,0.2,8,0.083,71.68
Sindh,8,213.7,512.65,21017.33,3193333,0.2,8,0.083,74.09
Sindh,7,72.62,167.49,8395.38,3193333,0.2,8,0.067,73.18
Sindh,8,173.4,540.87,18679.78,3193333,0.2,8,0.067,72.76
Sindh,7,183.15,462.01,18524.73,3193333,0.2,8,0.06,72.93
Sindh,8,69.46,171.06,8225.41,3193333,0.2,8,0.06,73.79
Sindh,7,134.15,372.15,14441.41,3193333,0.2,8,0.073,75.37
Sindh,8,197.9,559.63,20459.57,3193333,0.2,8,0.073,72.8
Khyber Pakhtunkhwa,7,28.85,84.82,4723.26,2366666,0.6,6,0.05,49.85
Khyber Pakhtunkhwa,8,25.07,85.14,4480.86,2366666,0.6,6,0.05,44.09
Punjab,7,54.98,154.72,7120.84,7333333,0.3,7,0.04,46.83
Punjab,8,37.18,135.71,5773.66,7333333,0.3,7,0.04,45.03
Balochistan,7,56.99,182.62,7530.66,820000,0.5,5,0.033,47.07
Balochistan,8,26.75,64.8,4386.44,820000,0.5,5,0.033,47.52
Sindh,7,136.02,493.79,15779.44,3193333,0.2,8,0.4,100.0
Sindh,8,181.95,444.44,18270.98,3193333,0.2,8,0.4,100.0
Sindh,7,173.91,391.93,17223.51,3193333,0.2,8,0.317,100.0
Sindh,8,142.58,487.61,16143.86,3193333,0.2,8,0.317,100.0
Sindh,7,187.83,446.47,18673.36,3193333,0.2,8,0.283,100.0
Sindh,8,192.36,462.43,19127.83,3193333,0.2,8,0.283,100.0
Sindh,7,66.99,171.94,8073.41,3193333,0.2,8,0.267,100.0
Sindh,8,170.01,569.87,18749.04,3193333,0.2,8,0.267,100.0
Sindh,7,137.69,358.39,14533.79,3193333,0.2,8,0.217,81.77
Sindh,8,102.23,254.6,11190.62,3193333,0.2,8,0.217,80.09
Sindh,7,112.15,329.64,12586.38,3193333,0.2,8,0.2,80.67
Sindh,8,210.51,514.78,20830.97,3193333,0.2,8,0.2,79.36
Sindh,7,150.06,334.48,15098.86,3193333,0.2,8,0.183,83.54
Sindh,8,196.98,727.14,22075.23,3193333,0.2,8,0.183,81.81
Sindh,7,206.05,686.47,22257.96,3193333,0.2,8,0.167,78.68
Sindh,8,67.46,210.6,8490.76,3193333,0.2,8,0.167,74.82
Sindh,7,172.56,637.61,19592.47,3193333,0.2,8,0.15,80.52
Sindh,8,206.6,603.56,21464.71,3193333,0.2,8,0.15,81.83
Sindh,7,111.82,255.8,11826.36,3193333,0.2,8,0.133,77.05
Sindh,8,100.34,349.63,12018.06,3193333,0.2,8,0.133,77.7
Balochistan,7,205.57,566.18,21024.13,820000,0.5,5,0.233,95.86
Balochistan,8,102.45,346.29,12122.22,820000,0.5,5,0.233,97.49
Balochistan,7,121.44,294.53,12838.89,820000,0.5,5,0.183,97.73
Balochistan,8,71.75,215.06,8814.34,820000,0.5,5,0.183,99.86
Balochistan,7,105.23,329.26,12132.62,820000,0.5,5,0.167,77.19
Balochistan,8,153.81,341.6,15413.48,820000,0.5,5,0.167,75.47
Balochistan,7,212.99,519.25,21036.99,820000,0.5,5,0.15,77.78
Balochistan,8,114.63,267.85,12129.56,820000,0.5,5,0.15,76.75
Balochistan,7,147.17,339.57,14961.67,820000,0.5,5,0.117,75.57
Balochistan,8,174.99,443.76,17812.09,820000,0.5,5,0.117,75.02
Punjab,7,74.32,167.86,8509.63,7333333,0.3,7,0.15,97.06
Punjab,8,124.97,387.88,14002.0,7333333,0.3,7,0.15,99.53
Punjab,7,119.34,339.06,13147.56,7333333,0.3,7,0.133,70.68
Punjab,8,140.74,344.57,14593.53,7333333,0.3,7,0.133,76.58
Punjab,7,210.3,588.27,21552.28,7333333,0.3,7,0.1,73.99
Punjab,8,88.73,286.65,10634.18,7333333,0.3,7,0.1,73.78
Khyber Pakhtunkhwa,7,68.11,227.86,8705.56,2366666,0.6,6,0.183,78.11
Khyber Pakhtunkhwa,8,158.61,355.81,15867.51,2366666,0.6,6,0.183,76.84
Khyber Pakhtunkhwa,7,160.94,359.15,16052.6,2366666,0.6,6,0.133,74.54
Khyber Pakhtunkhwa,8,58.74,204.41,7862.13,2366666,0.6,6,0.133,77.0
Khyber Pakhtunkhwa,7,82.87,195.51,9341.8,2366666,0.6,6,0.15,74.64
Khyber Pakhtunkhwa,8,83.77,281.1,10256.16,2366666,0.6,6,0.15,77.22
Khyber Pakhtunkhwa,7,29.86,97.61,4916.92,2366666,0.6,6,0.117,50.76
Khyber Pakhtunkhwa,8,20.25,54.05,3856.66,2366666,0.6,6,0.117,46.91
Khyber Pakhtunkhwa,7,54.63,191.65,7467.68,2366666,0.6,6,0.093,52.73
Khyber Pakhtunkhwa,8,27.09,70.84,4469.35,2366666,0.6,6,0.093,51.83
Punjab,7,88.25,282.28,10559.19,7333333,0.3,7,0.06,69.19
Punjab,8,113.69,350.55,12895.62,7333333,0.3,7,0.06,69.19
Punjab,7,57.42,196.49,7697.34,7333333,0.3,7,0.05,46.16
Punjab,8,17.01,61.04,3715.79,7333333,0.3,7,0.05,49.19
Punjab,7,49.99,144.0,6689.49,7333333,0.3,7,0.04,46.74
Punjab,8,11.12,29.25,3015.56,7333333,0.3,7,0.04,51.11
Punjab,7,22.89,55.47,4042.86,7333333,0.3,7,0.033,47.84
Punjab,8,51.75,195.35,7316.98,7333333,0.3,7,0.033,43.92
Khyber Pakhtunkhwa,7,23.62,52.65,4061.49,2366666,0.6,6,0.05,47.45
Khyber Pakhtunkhwa,8,55.71,133.07,6952.17,2366666,0.6,6,0.05,43.99
Balochistan,7,37.71,122.26,5673.7,820000,0.5,5,0.047,48.2
Balochistan,8,51.49,130.28,6649.43,820000,0.5,5,0.047,50.34
Sindh,7,159.71,396.17,16342.6,3193333,0.2,8,0.06,75.84
Sindh,8,204.59,587.19,21170.54,3193333,0.2,8,0.06,73.47
Sindh,7,48.45,119.49,6344.4,3193333,0.2,8,0.05,67.51
Sindh,8,172.85,403.16,17266.59,3193333,0.2,8,0.05,69.38
Sindh,7,29.46,78.43,4699.54,3193333,0.2,8,0.047,48.26
Sindh,8,27.78,93.09,4736.82,3193333,0.2,8,0.047,48.25
Sindh,7,33.8,110.26,5299.76,3193333,0.2,8,0.04,43.29
Sindh,8,56.84,191.68,7611.46,3193333,0.2,8,0.04,48.02
Sindh,7,12.57,37.64,3193.54,3193333,0.2,8,0.033,43.46
Sindh,8,39.84,108.96,5679.34,3193333,0.2,8,0.033,45.8
Sindh,7,13.76,46.29,3357.13,3193333,0.2,8,0.027,46.69
Sindh,8,34.77,114.81,5408.41,3193333,0.2,8,0.027,43.08
Sindh,7,50.96,177.28,7084.84,3193333,0.2,8,0.027,45.4
Sindh,8,44.73,117.9,6086.72,3193333,0.2,8,0.027,42.67
Sindh,7,14.58,53.47,3482.36,3193333,0.2,8,0.02,48.19
Sindh,8,16.84,62.65,3721.21,3193333,0.2,8,0.02,43.26
Balochistan,7,137.54,494.7,15887.24,820000,0.5,5,0.073,72.85
Balochistan,8,171.8,599.67,19163.72,820000,0.5,5,0.073,75.87
Balochistan,7,52.46,136.37,6773.56,820000,0.5,5,0.06,49.82
Balochistan,8,34.47,88.04,5121.0,820000,0.5,5,0.06,49.34
Balochistan,7,11.7,38.79,3148.19,820000,0.5,5,0.05,47.52
Balochistan,8,24.87,91.49,4531.27,820000,0.5,5,0.05,49.51
Punjab,7,52.23,141.57,6810.44,7333333,0.3,7,0.053,47.24
